id,question,choices,answer_index,answer_text,lecture,explanation,category,grade,image_filename
2425,"Is the following trait inherited or acquired?
Bridget has five fingers on each hand.",A. inherited | B. acquired,0,inherited,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.",,Traits and heredity,grade5,
2426,What is the expected ratio of offspring with white wool to offspring with black wool? Choose the most likely ratio.,A. 2:2 | B. 4:0 | C. 3:1 | D. 0:4 | E. 1:3,1,4:0,"Offspring phenotypes: dominant or recessive?
How do you determine an organism's phenotype for a trait? Look at the combination of alleles in the organism's genotype for the gene that affects that trait. Some alleles have types called dominant and recessive. These two types can cause different versions of the trait to appear as the organism's phenotype.
If an organism's genotype has at least one dominant allele for a gene, the organism's phenotype will be the dominant allele's version of the gene's trait.
If an organism's genotype has only recessive alleles for a gene, the organism's phenotype will be the recessive allele's version of the gene's trait.
A Punnett square shows what types of offspring a cross can produce. The expected ratio of offspring types compares how often the cross produces each type of offspring, on average. To write this ratio, count the number of boxes in the Punnett square representing each type.
For example, consider the Punnett square below.
 | F | f
F | FF | Ff
f | Ff | ff
There is 1 box with the genotype FF and 2 boxes with the genotype Ff. So, the expected ratio of offspring with the genotype FF to those with Ff is 1:2.
",,Genes to traits,grade8,2426.jpg
2427,"What is the source of the allusion in the sentence below?
Tyrone's remark about your new car is clearly a case of sour grapes.",A. Greek mythology | B. a fable,1,a fable,"An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
Here, Lila alludes to the fairy tale ""Cinderella,"" in which Cinderella must leave the ball before the coach that brought her transforms into a pumpkin. The allusion shows that Lila must depart immediately.",,Literary devices,grade8,
2428,"Which tense does the sentence use?
Akiko teaches Chloe about customs in Japan.",A. past tense | B. future tense | C. present tense,2,present tense,"Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go",,Verb tense,grade5,
2429,Which country is highlighted?,A. Haiti | B. Cuba | C. The Bahamas | D. Jamaica,1,Cuba,,,The Americas: geography,grade6,2429.jpg
2430,Which animal is also adapted to be camouflaged in the snow?,A. skunk | B. ptarmigan,1,ptarmigan,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The color, texture, and covering of an animal's skin are examples of adaptations. Animals' skins can be adapted in different ways. For example, skin with thick fur might help an animal stay warm. Skin with sharp spines might help an animal defend itself against predators.",,Adaptations,grade3,2430.jpg
2431,Which word does not rhyme?,A. plan | B. ran | C. rain,2,rain,"Rhyming words are words that end with the same sound.
The words tip and slip rhyme. They both end with the ip sound.
The words lake and make rhyme. They both end with the ake sound.
The words tip and lake don't rhyme. They end with different sounds.",,Rhyming,grade1,
2432,What is the name of the colony shown?,A. Pennsylvania | B. Illinois | C. West Virginia | D. Rhode Island,0,Pennsylvania,,,English colonies in North America,grade4,2432.jpg
2433,What is the capital of Idaho?,A. Sacramento | B. Olympia | C. Boise | D. Santa Fe,2,Boise,,,State capitals,grade4,2433.jpg
2434,"Complete the sentence so that it uses personification.
""You might think you'll always be young,"" Mrs. Stone counseled, ""but time ()"".",A. creeps up on you | B. affects everyone,0,creeps up on you,"Personification is giving human characteristics to nonhuman things. It is a figure of speech that can be used to make writing more interesting or to emphasize a point.
The trees danced in the wind.
The word danced describes the trees as if they were people. Unlike people, however, trees can't actually dance. Instead, the personification suggests that the trees are moving.",,Creative techniques,grade9,
2435,How long is a human front tooth?,A. 12 millimeters | B. 12 kilometers | C. 12 centimeters | D. 12 meters,0,12 millimeters,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.",,Units and measurement,grade7,
2436,"Which figure of speech is used in this text?
Grace asked her mother if she could adopt a cat, and her mother replied, ""It's a definite maybe,"" so Grace didn't want to get her hopes up.",A. euphemism | B. oxymoron,1,oxymoron,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.",,Literary devices,grade9,
2437,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,A. sample A | B. neither; the samples have the same temperature | C. sample B,2,sample B,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.",,Particle motion and energy,grade6,2437.jpg
2438,Does this passage describe the weather or the climate?,A. weather | B. climate,0,weather,"The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere.
Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day.
Climate is the pattern of weather in a certain place. For example, summer temperatures in New York are usually higher than winter temperatures.",,Weather and climate,grade6,2438.jpg
2439,What information supports the conclusion that Daniel acquired this trait?,"A. Daniel knits sweaters using cotton, wool, and other types of yarn. | B. Daniel learned how to knit in an after school program.",1,Daniel learned how to knit in an after school program.,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,Heredity,grade3,
2440,Which bird's beak is also adapted to catch insects?,A. European nightjar | B. hanging parrot,0,European nightjar,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of a bird's beak is one example of an adaptation. Birds' beaks can be adapted in different ways. For example, a sharp hooked beak might help a bird tear through meat easily. A short, thick beak might help a bird break through a seed's hard shell. Birds that eat similar food often have similar beaks.",,Adaptations,grade4,2440.jpg
2441,Select the reptile below.,A. zebra | B. box turtle,1,box turtle,"Birds, mammals, fish, reptiles, and amphibians are groups of animals. The animals in each group have traits in common.
Scientists sort animals into groups based on traits they have in common. This process is called classification.",,Classification,grade2,2441.jpg
2442,Which word does not rhyme?,A. globe | B. note | C. robe,1,note,"Rhyming words are words that end with the same sound.
The words tip and slip rhyme. They both end with the same sound.
The words meet and treat also rhyme. They both end with the same sound, even though the sound has two different spellings.
The words tip and meet don't rhyme. They end with different sounds.",,Rhyming,grade2,
2443,"Would you find the word tub on a dictionary page with the following guide words?
tax - theory",A. no | B. yes,0,no,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade3,
2444,"According to Newton's third law, what other force must be happening?",A. The gas pedal is pulling on Susan's foot. | B. The gas pedal is pushing on Susan's foot.,1,The gas pedal is pushing on Susan's foot.,"According to Newton's third law, for every force, there is an equal and opposite force. This means that if one object is applying a force on a second object, the second object must also be applying a force on the first object, but in the opposite direction.
For example, if your hand is pushing down on a table, the table is also pushing up on your hand. Or, if you are pulling forward on a rope, the rope is also pulling back on you.",,"Velocity, acceleration, and forces",grade8,
2445,"Would you find the word arrest on a dictionary page with the following guide words?
act - axis",A. yes | B. no,0,yes,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade8,
2446,"Would you find the word laughter on a dictionary page with the following guide words?
lever - litter",A. yes | B. no,1,no,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade8,
2447,Which country is highlighted?,A. the Marshall Islands | B. Australia | C. Kiribati | D. Nauru,2,Kiribati,,,Oceania: geography,grade8,2447.jpg
2448,"Which type of sentence is this?
Natalie is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",A. simple | B. compound | C. complex | D. compound-complex,3,compound-complex,"A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.",,Phrases and clauses,grade11,
2449,What is the name of the colony shown?,A. Massachusetts | B. New Jersey | C. North Carolina | D. Georgia,2,North Carolina,,,Colonial America,grade8,2449.jpg
2450,"Which logical fallacy is used in the text?
I'm never setting foot in any seafood restaurant again. We just had a ridiculously overpriced dinner at Rafi's Seafood Hut, and I have no interest in repeating that experience.","A. hasty generalization: a very broad claim based on very little evidence | B. false causation: the assumption that because two things happened together, one caused the other",0,hasty generalization: a very broad claim based on very little evidence,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | a personal attack meant to discredit one's opponent
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
red herring | the use of a completely unrelated topic in support of a claim
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a very broad claim based on very little evidence
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade7,
2451,Which better describes the Okavango Delta ecosystem?,A. It has soil that is rich in nutrients. It also has other water ecosystems nearby. | B. It has soil that is poor in nutrients. It also has other water ecosystems nearby.,0,It has soil that is rich in nutrients. It also has other water ecosystems nearby.,"An ecosystem is formed when living and nonliving things interact in an environment. There are many types of ecosystems. Here are some ways in which ecosystems can differ from each other:
the pattern of weather, or climate
the type of soil or water
the organisms that live there",,Ecosystems,grade3,2451.jpg
2452,What information supports the conclusion that Carmen acquired this trait?,A. Carmen was not born knowing how to identify different bird calls. She had to learn this skill. | B. Carmen likes to photograph birds at the zoo.,0,Carmen was not born knowing how to identify different bird calls. She had to learn this skill.,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,Traits and heredity,grade4,
2453,"Complete the sentence.
An air freshener making a room smell nice is a ().",A. chemical change | B. physical change,1,physical change,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form new molecules. The types of molecules in matter before and after a chemical change are always different.
Burning a piece of paper is a chemical change. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then relink and form different molecules. For example, carbon dioxide molecules are created when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. For example, water vaporizing is a physical change. Liquid water and water vapor are made of the same type of matter: water.",,Physical and chemical change,grade5,
2454,Which animal is also adapted to be camouflaged among green leaves?,A. blue poison dart frog | B. huntsman spider,1,huntsman spider,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The color, texture, and covering of an animal's skin are examples of adaptations. Animals' skins can be adapted in different ways. For example, skin with thick fur might help an animal stay warm. Skin with sharp spines might help an animal defend itself against predators.",,Adaptations,grade5,2454.jpg
2455,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium.",A. to the left than to the right | B. to the right than to the left,0,to the left than to the right,"In a solution, solute particles move and spread throughout the solvent. The diagram below shows how a solution can change over time. Solute particles move from the area where they are at a higher concentration to the area where they are at a lower concentration. This movement happens through the process of diffusion.
As a result of diffusion, the concentration of solute particles becomes equal throughout the solution. When this happens, the solute particles reach equilibrium. At equilibrium, the solute particles do not stop moving. But their concentration throughout the solution stays the same.
Membranes, or thin boundaries, can divide solutions into parts. A membrane is permeable to a solute when particles of the solute can pass through gaps in the membrane. In this case, solute particles can move freely across the membrane from one side to the other.
So, for the solute particles to reach equilibrium, more particles will move across a permeable membrane from the side with a higher concentration of solute particles to the side with a lower concentration. At equilibrium, the concentration on both sides of the membrane is equal.",,Solutions,grade6,2455.jpg
2456,Which animal's feet are also adapted for grabbing prey?,A. common buzzard | B. white rhinoceros,0,common buzzard,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's feet is one example of an adaptation. Animals' feet can be adapted in different ways. For example, webbed feet might help an animal swim. Feet with thick fur might help an animal walk on cold, snowy ground.",,Adaptations,grade4,2456.jpg
2457,"Which figure of speech is used in this text?
Where have you gone, Joe DiMaggio?
A nation turns its lonely eyes to you . . .
—Paul Simon, ""Mrs. Robinson""",A. chiasmus | B. apostrophe,1,apostrophe,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses.
We are united. We are powerful. We are winners.
Antithesis involves contrasting opposing ideas within a parallel grammatical structure.
I want to help, not to hurt.
Apostrophe is a direct address to an absent person or a nonhuman entity.
Oh, little bird, what makes you sing so beautifully?
Assonance is the repetition of a vowel sound in a series of nearby words.
Try to light the fire.
Chiasmus is an expression in which the second half parallels the first but reverses the order of words.
Never let a fool kiss you or a kiss fool you.
Understatement involves deliberately representing something as less serious or important than it really is.
As you know, it can get a little cold in the Antarctic.",,Literary devices,grade11,
2458,Which of the following could Devin's test show?,A. how much athletes would sweat in the fabric | B. if the sample fabric would absorb one drop of water in less than one second | C. how long it would take the sample fabric to dry after it absorbed one drop of water,2,how long it would take the sample fabric to dry after it absorbed one drop of water,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds.",,Engineering practices,grade7,2458.jpg
2459,What information supports the conclusion that Shelley inherited this trait?,A. Shelley and her mother both have short hair. | B. Shelley's parents were born with wavy hair. They passed down this trait to Shelley.,1,Shelley's parents were born with wavy hair. They passed down this trait to Shelley.,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.",,Genes to traits,grade6,
2460,Select the one animal that has all of the bony fish traits listed above.,"A. Wels catfish have a bony skeleton and live in lakes, rivers, and coastal waters. Wels catfish eggs do not have shells for protection. Male catfish guard the eggs until they hatch. | B. Gray tree frogs hatch from eggs without shells. They live underwater when they are tadpoles. They move onto land when they become adults. The moist skin of adult gray tree frogs can be green or gray. The color of their skin helps them hide on rocks or plants.",0,"Wels catfish have a bony skeleton and live in lakes, rivers, and coastal waters. Wels catfish eggs do not have shells for protection. Male catfish guard the eggs until they hatch.","Scientists sort animals with similar traits into groups. This is called classification. Classification helps scientists learn about how animals live.
How do scientists classify animals? First, they make observations about an animal. Scientists observe the animal's traits, including its body parts and behavior. Then, scientists compare the animal's traits to other animals' traits. Scientists classify animals with similar traits into a group.",,Classification,grade5,
2461,Which of the following contains a vague pronoun reference?,"A. Emma and her sister posed for a photograph, but when the flash went off, Emma blinked. | B. Emma and her sister posed for a photograph, but when the flash went off, she blinked.",1,"Emma and her sister posed for a photograph, but when the flash went off, she blinked.","When writing, make sure to avoid vague pronoun references. A vague pronoun reference occurs when a pronoun could refer to more than one possible antecedent.
When Lisa and Kim finally landed, she breathed a sigh of relief.
The pronoun she could refer to either Lisa or Kim, so the meaning of the sentence is unclear.
Vague pronoun references can be corrected in one of two ways:
1. Replace the pronoun with its correct antecedent:
When Lisa and Kim finally landed, Lisa breathed a sigh of relief.
2. Rewrite the sentence:
Lisa breathed a sigh of relief when she and Kim finally landed.
A vague pronoun reference also occurs when they, them, their, theirs, it, or its is used without its antecedent.
They say that this nail polish dries in less than five minutes.
The pronoun they is used without its antecedent, so the meaning of the sentence is unclear.
This problem can be fixed by replacing the pronoun with its missing antecedent.
The advertisements say that this nail polish dries in less than five minutes.",,Pronouns and antecedents,grade7,
2462,Which is this organism's scientific name?,A. sulfur-crested cockatoo | B. Cacatua galerita,1,Cacatua galerita,"An organism's common name is the name that people normally call the organism. Common names often contain words you know.
An organism's scientific name is the name scientists use to identify the organism. Scientific names often contain words that are not used in everyday English.
Scientific names are written in italics, but common names are usually not. The first word of the scientific name is capitalized, and the second word is not. For example, the common name of the animal below is giant panda. Its scientific name is Ailuropoda melanoleuca.",,Classification and scientific names,grade7,2462.jpg
2463,Select the item that doesn't belong.,A. ruler | B. clock | C. timer | D. watch,0,ruler,,,Categories,grade3,
2464,Will these magnets attract or repel each other?,A. repel | B. attract,0,repel,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south.
Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.
",,Magnets,grade4,2464.jpg
2465,"Based on the map, why did Dred Scott believe he should be free after living at these two places?",A. Fort Armstrong was in a free state and Fort Snelling was in a free territory. | B. Fort Armstrong was in a slave territory and Fort Snelling was in a free state. | C. Fort Snelling and Fort Armstrong were both in free states. | D. Fort Snelling and Fort Armstrong were both in slave states.,0,Fort Armstrong was in a free state and Fort Snelling was in a free territory.,,,The Antebellum period,grade7,2465.jpg
2466,What can Avery and Kiera trade to each get what they want?,A. Kiera can trade her almonds for Avery's tomatoes. | B. Avery can trade her tomatoes for Kiera's sandwich. | C. Kiera can trade her broccoli for Avery's oranges. | D. Avery can trade her tomatoes for Kiera's broccoli.,3,Avery can trade her tomatoes for Kiera's broccoli.,,,Basic economic principles,grade6,2466.jpg
2467,"Which logical fallacy is used in the text?
I can't believe you'd hire Mike Campbell to watch your dog! Did you know that his friend adopted a dog but then took it back to the shelter after just one week?",A. guilt by association: a negative association intended to discredit someone or something | B. hasty generalization: a very broad claim based on very little evidence,0,guilt by association: a negative association intended to discredit someone or something,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | a personal attack meant to discredit one's opponent
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
red herring | the use of a completely unrelated topic in support of a claim
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a very broad claim based on very little evidence
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade6,
2468,Is slate a mineral or a rock?,A. mineral | B. rock,1,rock,"Minerals are the building blocks of rocks. A rock can be made of one or more minerals.
Minerals and rocks have the following properties:
Property | Mineral | Rock
It is a solid. | Yes | Yes
It is formed in nature. | Yes | Yes
It is not made by organisms. | Yes | Yes
It is a pure substance. | Yes | No
It has a fixed crystal structure. | Yes | No
You can use these properties to tell whether a substance is a mineral, a rock, or neither.
Look closely at the last three properties:
Minerals and rocks are not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be  minerals or rocks.
Humans are organisms too. So, substances that humans make by hand or in factories are not minerals or rocks.
A mineral is a pure substance, but a rock is not.
A pure substance is made of only one type of matter.  Minerals are pure substances, but rocks are not. Instead, all rocks are mixtures.
A mineral has a fixed crystal structure, but a rock does not.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms and molecules in different pieces of the same type of mineral are always arranged the same way.
However, rocks do not have a fixed crystal structure. So, the arrangement of atoms or molecules in different pieces of the same type of rock may be different!",,Rocks and minerals,grade7,2468.jpg
2469,"What do these two changes have in common?
peeling a banana
tying a shoelace",A. Both are only physical changes. | B. Both are caused by cooling. | C. Both are caused by heating. | D. Both are chemical changes.,0,Both are only physical changes.,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.",,Physical and chemical change,grade3,
2470,Will these magnets attract or repel each other?,A. attract | B. repel,1,repel,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south.
Here are some examples of magnets. The north pole of each magnet is marked N, and the south pole is marked S.
If different poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same poles are closest to each other, the magnets repel. The magnets in both pairs below repel.
",,Magnets,grade2,2470.jpg
2471,How long is a parking space?,A. 20 inches | B. 20 miles | C. 20 yards | D. 20 feet,3,20 feet,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.",,Units and measurement,grade7,
2472,Which property do these three objects have in common?,A. blue | B. sour | C. stretchy,1,sour,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups.",,Materials,grade3,2472.jpg
2473,Is a purse a good or a service?,A. a service | B. a good,1,a good,"Everything you can buy is either a good or a service.
A good is something you can touch or hold in your hands. For example, a hammer is a good.
A service is a job you pay someone else to do. For example, cooking food in a restaurant is a service.",,Economics,grade2,
2474,"Which logical fallacy is used in the text?
We can't let Governor Merritt impose regulations on gas-guzzling cars! Soon enough, he'll start trying to ban all cars!","A. slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences | B. appeal to nature: the assumption that natural things are always good | C. ad hominem: an attack against the person making the argument, rather than the argument itself",0,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade10,
