ID,question,knowledge concept,option,answer,image_path,knowledge concept description
4121,What is the capital of Pennsylvania?,State capitals,A. Frankfort | B. Harrisburg | C. Providence | D. Boise,Harrisburg,scienceqa_images_fixed/4121.jpg,
4122,Is pumice a mineral?,Rocks and minerals,A. no | B. yes,no,scienceqa_images_fixed/4122.jpg,"Properties are used to identify different substances. Minerals have the following properties:
It is a solid.
It is formed in nature.
It is not made by organisms.
It is a pure substance.
It has a fixed crystal structure.
If a substance has all five of these properties, then it is a mineral.
Look closely at the last three properties:
A mineral is not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be minerals.
Humans are organisms too. So, substances that humans make by hand or in factories cannot be minerals.
A mineral is a pure substance.
A pure substance is made of only one type of matter. All minerals are pure substances.
A mineral has a fixed crystal structure.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms or molecules in different pieces of the same type of mineral are always arranged the same way."
4126,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,Particle motion and energy,A. neither; the samples have the same temperature | B. sample B | C. sample A,sample B,scienceqa_images_fixed/4126.jpg,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy."
4128,Which of these cities is marked on the map?,Cities,A. Seattle | B. San Francisco | C. Las Vegas | D. Los Angeles,Seattle,scienceqa_images_fixed/4128.jpg,
4131,"Which bird's beak is also adapted to crack large, hard nuts?",Adaptations,A. pale-tailed barbthroat | B. African gray parrot,African gray parrot,scienceqa_images_fixed/4131.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of a bird's beak is one example of an adaptation. Birds' beaks can be adapted in different ways. For example, a sharp hooked beak might help a bird tear through meat easily. A short, thick beak might help a bird break through a seed's hard shell. Birds that eat similar food often have similar beaks."
4132,What is the capital of Hawaii?,State capitals,A. Baltimore | B. Hilo | C. Tallahassee | D. Honolulu,Honolulu,scienceqa_images_fixed/4132.jpg,
4133,Which is this organism's scientific name?,Classification and scientific names,A. Danaus plexippus | B. monarch butterfly,Danaus plexippus,scienceqa_images_fixed/4133.jpg,"An organism's common name is the name that people normally call the organism. Common names often contain words you know.
An organism's scientific name is the name scientists use to identify the organism. Scientific names often contain words that are not used in everyday English.
Scientific names are written in italics, but common names are usually not. The first word of the scientific name is capitalized, and the second word is not. For example, the common name of the animal below is giant panda. Its scientific name is Ailuropoda melanoleuca."
4134,Which solution has a higher concentration of yellow particles?,Solutions,A. neither; their concentrations are the same | B. Solution A | C. Solution B,neither; their concentrations are the same,scienceqa_images_fixed/4134.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
4139,Which of the following fossils is older? Select the more likely answer.,Fossils,A. insect | B. mammal tooth,insect,scienceqa_images_fixed/4139.jpg,"A fossil is the preserved evidence of an ancient organism. Some fossils are formed from body parts such as bones or shells. Other fossils, such as footprints or burrows, are formed from traces of an organism's activities.
Fossils are typically found in sedimentary rocks. Sedimentary rocks usually form in layers. Over time, new layers are added on top of old layers in a series called a rock sequence. The layers in an undisturbed rock sequence are in the same order as when they formed. So, the deeper layers are older than the shallower layers.
The relative ages of fossils can be determined from their positions in an undisturbed rock sequence. Older fossils are usually in deeper layers, and younger fossils are usually in shallower layers."
4141,Will these magnets attract or repel each other?,Magnets,A. repel | B. attract,attract,scienceqa_images_fixed/4141.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south.
Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel."
4143,"Complete the sentence.
The East Pacific Rise formed at a () boundary.",Plate tectonics,A. divergent | B. transform | C. convergent,divergent,scienceqa_images_fixed/4143.jpg,"The outer layer of Earth is broken up into many pieces called tectonic plates, or simply plates. The breaks between plates are called plate boundaries. Plate boundaries are classified by the way the plates are moving relative to each other:
At a transform boundary, two plates are sliding past each other.
At a convergent boundary, two plates are moving toward each other.
At a divergent boundary, two plates are moving away from each other.
divergent plate boundary
When plates at a divergent boundary move apart, cracks form in the crust along the boundary. Melted rock rises from below the crust to fill these cracks. As the melted rock cools and hardens, it becomes new oceanic crust.
Newer oceanic crust weighs less than older oceanic crust. So, the crust on either side of the boundary rises up higher than the older crust that is farther from the boundary. This difference in elevation creates a mid-ocean ridge, or underwater mountain chain. Between the two plates, there may be a deep rift valley."
4145,Which country is highlighted?,Oceania: geography,A. Papua New Guinea | B. the Marshall Islands | C. Solomon Islands | D. Australia,Solomon Islands,scienceqa_images_fixed/4145.jpg,
4146,Which country is highlighted?,Oceania: geography,A. Papua New Guinea | B. Nauru | C. New Zealand | D. Australia,New Zealand,scienceqa_images_fixed/4146.jpg,
4147,"Based on the event chain, when is Tinker Bell poisoned?",Visual elements,A. before Captain Hook captures the Lost Boys | B. after the Lost Boys fight the pirates,after the Lost Boys fight the pirates,scienceqa_images_fixed/4147.jpg,"A graphic organizer is a chart or picture that shows how ideas, facts, or topics are related to one another.
When you read, look for graphic organizers included in the text. You can use these images to find key information. You can also create your own graphic organizers with information that you've read. Doing this can help you think about the ideas in the text and easily review them.
When you write, you can use graphic organizers to organize your thoughts and plan your writing."
4148,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"Velocity, acceleration, and forces",A. The magnitude of the magnetic force is the same in both pairs. | B. The magnitude of the magnetic force is smaller in Pair 1. | C. The magnitude of the magnetic force is smaller in Pair 2.,The magnitude of the magnetic force is smaller in Pair 1.,scienceqa_images_fixed/4148.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the magnitude of a magnetic force between two magnets by using magnets of different sizes. The magnitude of the magnetic force is smaller when the magnets are smaller."
4149,What is the capital of Maryland?,State capitals,A. Provo | B. Baltimore | C. Annapolis | D. Providence,Annapolis,scienceqa_images_fixed/4149.jpg,
4150,Which property do these two objects have in common?,Materials,A. soft | B. breakable,soft,scienceqa_images_fixed/4150.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells.
Different objects can have the same properties. You can use these properties to put objects into groups."
4151,Which continent is highlighted?,Physical Geography,A. North America | B. South America | C. Antarctica | D. Asia,North America,scienceqa_images_fixed/4151.jpg,A continent is one of the major land masses on the earth. Most people say there are seven continents.
4158,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"Velocity, acceleration, and forces",A. The magnitude of the magnetic force is the same in both pairs. | B. The magnitude of the magnetic force is greater in Pair 2. | C. The magnitude of the magnetic force is greater in Pair 1.,The magnitude of the magnetic force is greater in Pair 2.,scienceqa_images_fixed/4158.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the magnitude of a magnetic force between two magnets by using magnets of different sizes. The magnitude of the magnetic force is greater when the magnets are larger."
4159,What is the name of the colony shown?,Colonial America,A. Connecticut | B. North Carolina | C. New Hampshire | D. Massachusetts,Connecticut,scienceqa_images_fixed/4159.jpg,
4160,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"Velocity, acceleration, and forces",A. The magnitude of the magnetic force is greater in Pair 2. | B. The magnitude of the magnetic force is greater in Pair 1. | C. The magnitude of the magnetic force is the same in both pairs.,The magnitude of the magnetic force is the same in both pairs.,scienceqa_images_fixed/4160.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other."
4161,Select the bird below.,Classification,A. pelican | B. kangaroo,pelican,scienceqa_images_fixed/4161.jpg,"Birds, mammals, fish, reptiles, and amphibians are groups of animals. The animals in each group have traits in common.
Scientists sort animals into groups based on traits they have in common. This process is called classification."
4162,"Complete the statement.
Dichloromethane is ().",Atoms and molecules,A. an elementary substance | B. a compound,a compound,scienceqa_images_fixed/4162.jpg,"There are more than 100 different chemical elements, or types of atoms. Chemical elements make up all of the substances around you.
A substance may be composed of one chemical element or multiple chemical elements. Substances that are composed of only one chemical element are elementary substances. Substances that are composed of multiple chemical elements bonded together are compounds.
Every chemical element is represented by its own atomic symbol. An atomic symbol may consist of one capital letter, or it may consist of a capital letter followed by a lowercase letter. For example, the atomic symbol for the chemical element boron is B, and the atomic symbol for the chemical element chlorine is Cl.
Scientists use different types of models to represent substances whose atoms are bonded in different ways. One type of model is a ball-and-stick model. The ball-and-stick model below represents a molecule of the compound boron trichloride.
In a ball-and-stick model, the balls represent atoms, and the sticks represent bonds. Notice that the balls in the model above are not all the same color. Each color represents a different chemical element. The legend shows the color and the atomic symbol for each chemical element in the substance."
4163,Which property do these four objects have in common?,Materials,A. fuzzy | B. stretchy | C. smooth,fuzzy,scienceqa_images_fixed/4163.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification."
4164,"Based on the bubble map, who said, ""My good opinion, once lost, is lost forever""?",Visual elements,A. Darcy | B. Elizabeth,Darcy,scienceqa_images_fixed/4164.jpg,"A graphic organizer is a chart or picture that shows how ideas, facts, or topics are related to one another.
When you read, look for graphic organizers included in the text. You can use these images to find key information. You can also create your own graphic organizers with information that you've read. Doing this can help you think about the ideas in the text and easily review them.
When you write, you can use graphic organizers to organize your thoughts and plan your writing."
4168,Is breccia a mineral?,Rocks and minerals,A. yes | B. no,no,scienceqa_images_fixed/4168.jpg,"Properties are used to identify different substances. Minerals have the following properties:
It is a solid.
It is formed in nature.
It is not made by organisms.
It is a pure substance.
It has a fixed crystal structure.
If a substance has all five of these properties, then it is a mineral.
Look closely at the last three properties:
A mineral is not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be minerals.
Humans are organisms too. So, substances that humans make by hand or in factories cannot be minerals.
A mineral is a pure substance.
A pure substance is made of only one type of matter. All minerals are pure substances.
A mineral has a fixed crystal structure.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms or molecules in different pieces of the same type of mineral are always arranged the same way."
4169,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,Magnets,A. The magnitude of the magnetic force is the same in both pairs. | B. The magnitude of the magnetic force is greater in Pair 1. | C. The magnitude of the magnetic force is greater in Pair 2.,The magnitude of the magnetic force is the same in both pairs.,scienceqa_images_fixed/4169.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other."
4171,Which country is highlighted?,Oceania: geography,A. Tonga | B. Samoa | C. Kiribati | D. Fiji,Samoa,scienceqa_images_fixed/4171.jpg,
4173,Which animal's neck is also adapted for hunting prey while keeping the rest of its body still?,Adaptations,A. blue-footed booby | B. saddle-billed stork,saddle-billed stork,scienceqa_images_fixed/4173.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's neck is one example of an adaptation. Animals' necks can be adapted in different ways. For example, a large frilled neck might help an animal appear dangerous to its predators. A long neck might help an animal get food from tall trees."
4176,Which is this organism's common name?,Classification and scientific names,A. Canis lupus | B. gray wolf,gray wolf,scienceqa_images_fixed/4176.jpg,"An organism's common name is the name that people normally call the organism. Common names often contain words you know.
An organism's scientific name is the name scientists use to identify the organism. Scientific names often contain words that are not used in everyday English.
Scientific names are written in italics, but common names are usually not. The first word of the scientific name is capitalized, and the second word is not. For example, the common name of the animal below is giant panda. Its scientific name is Ailuropoda melanoleuca."
4177,What is the capital of North Dakota?,State capitals,A. Bismarck | B. Madison | C. Fargo | D. Nashville,Bismarck,scienceqa_images_fixed/4177.jpg,
4181,What is the capital of Colorado?,State capitals,A. Denver | B. Carson City | C. Albuquerque | D. Nashville,Denver,scienceqa_images_fixed/4181.jpg,
4182,Which of these colonies was Southern Colonies?,Colonial America,A. Virginia | B. Pennsylvania,Virginia,scienceqa_images_fixed/4182.jpg,
4184,Which statement describes the Mount Rainier National Park ecosystem?,Ecosystems,A. It has soil that is rich in nutrients. | B. It has mostly small plants. | C. It has soil that is poor in nutrients.,It has soil that is poor in nutrients.,scienceqa_images_fixed/4184.jpg,"An environment includes all of the biotic, or living, and abiotic, or nonliving, things in an area. An ecosystem is created by the relationships that form among the biotic and abiotic parts of an environment.
There are many different types of terrestrial, or land-based, ecosystems. Here are some ways in which terrestrial ecosystems can differ from each other:
the pattern of weather, or climate
the type of soil
the organisms that live there"
4185,Which of these states is farthest east?,Geography,A. Oregon | B. Iowa | C. Kentucky | D. Oklahoma,Kentucky,scienceqa_images_fixed/4185.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
4188,"Is the following statement about our solar system true or false?
There are twice as many ice planets as rocky planets.",Astronomy,A. true | B. false,false,scienceqa_images_fixed/4188.jpg,"A planet's volume tells you the size of the planet.
The primary composition of a planet is what the planet is made mainly of. In our solar system, planets are made mainly of rock, gas, or ice."
4192,What is the name of the colony shown?,Colonial America,A. Maine | B. Connecticut | C. New Hampshire | D. Vermont,Connecticut,scienceqa_images_fixed/4192.jpg,
4196,What is the capital of Connecticut?,State capitals,A. New Haven | B. Hartford | C. Omaha | D. Fayetteville,Hartford,scienceqa_images_fixed/4196.jpg,
4197,Identify the question that Hannah and Liam's experiment can best answer.,Designing experiments,A. Does Hannah's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax? | B. Does Hannah's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?,Does Hannah's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?,scienceqa_images_fixed/4197.jpg,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?"
4198,Will these magnets attract or repel each other?,Magnets,A. attract | B. repel,attract,scienceqa_images_fixed/4198.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south.
Here are some examples of magnets. The north pole of each magnet is marked N, and the south pole is marked S.
If different poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same poles are closest to each other, the magnets repel. The magnets in both pairs below repel."
4203,Which property do these three objects have in common?,Materials,A. bouncy | B. yellow | C. flexible,flexible,scienceqa_images_fixed/4203.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification."
4204,Which solution has a higher concentration of purple particles?,Solutions,A. Solution A | B. Solution B | C. neither; their concentrations are the same,Solution A,scienceqa_images_fixed/4204.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
4206,Which animal's neck is also adapted for reaching high branches?,Adaptations,A. chital | B. bison,chital,scienceqa_images_fixed/4206.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's neck is one example of an adaptation. Animals' necks can be adapted in different ways. For example, a large frilled neck might help an animal appear dangerous to its predators. A long neck might help an animal get food from tall trees."
4210,Which of these states is farthest south?,Maps,A. Connecticut | B. North Dakota | C. Missouri | D. Wyoming,Missouri,scienceqa_images_fixed/4210.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
4212,"Complete the statement.
Sodium fluoride is ().",Atoms and molecules,A. an elementary substance | B. a compound,a compound,scienceqa_images_fixed/4212.jpg,"There are more than 100 different chemical elements, or types of atoms. Chemical elements make up all of the substances around you.
A substance may be composed of one chemical element or multiple chemical elements. Substances that are composed of only one chemical element are elementary substances. Substances that are composed of multiple chemical elements bonded together are compounds.
Every chemical element is represented by its own atomic symbol. An atomic symbol may consist of one capital letter, or it may consist of a capital letter followed by a lowercase letter. For example, the atomic symbol for the chemical element fluorine is F, and the atomic symbol for the chemical element beryllium is Be.
Scientists use different types of models to represent substances whose atoms are bonded in different ways. One type of model is a space-filling model. The space-filling model below represents the compound rubidium bromide.
In a space-filling model, the balls represent atoms that are bonded together. Notice that the balls in the model above are not all the same color. Each color represents a different chemical element. The legend shows the color and the atomic symbol for each chemical element in the substance."
4214,Will these magnets attract or repel each other?,Magnets,A. repel | B. attract,repel,scienceqa_images_fixed/4214.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south.
Here are some examples of magnets. The north pole of each magnet is marked N, and the south pole is marked S.
If different poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same poles are closest to each other, the magnets repel. The magnets in both pairs below repel."
4219,Select the organism in the same genus as the garden hyacinth.,Classification and scientific names,A. Hyacinthus orientalis | B. Amphiprion frenatus | C. Ovis orientalis,Hyacinthus orientalis,scienceqa_images_fixed/4219.jpg,"Scientists use scientific names to identify organisms. Scientific names are made of two words.
The first word in an organism's scientific name tells you the organism's genus. A genus is a group of organisms that share many traits.
A genus is made up of one or more species. A species is a group of very similar organisms. The second word in an organism's scientific name tells you its species within its genus.
Together, the two parts of an organism's scientific name identify its species. For example Ursus maritimus and Ursus americanus are two species of bears. They are part of the same genus, Ursus. But they are different species within the genus. Ursus maritimus has the species name maritimus. Ursus americanus has the species name americanus.
Both bears have small round ears and sharp claws. But Ursus maritimus has white fur and Ursus americanus has black fur."
4221,Which of these states is farthest north?,Maps,A. Arkansas | B. Nevada | C. New Mexico | D. Georgia,Nevada,scienceqa_images_fixed/4221.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
4223,Which is the main persuasive appeal used in this ad?,Persuasive strategies,A. logos (reason) | B. ethos (character) | C. pathos (emotion),pathos (emotion),scienceqa_images_fixed/4223.jpg,"The purpose of an advertisement is to persuade people to do something. To accomplish this purpose, advertisements use three types of persuasive strategies, or appeals:
Appeals to ethos, or character, show that the writer or speaker is trustworthy or is an authority on a subject. An ad that appeals to ethos might do one of the following:
say that a brand has been trusted for many years
note that a brand is recommended by a respected organization or celebrity
include a quote from a ""real person"" who shares the audience's values
Appeals to logos, or reason, use logic and specific evidence. An ad that appeals to logos might do one of the following:
use graphs or charts to display information
mention the results of scientific studies
explain the science behind a product or service
Appeals to pathos, or emotion, use feelings rather than facts to persuade the audience. An ad that appeals to pathos might do one of the following:
trigger a fear, such as the fear of embarrassment
appeal to a desire, such as the desire to appear attractive
link the product to a positive feeling, such as adventure, love, or luxury"
4225,Which solution has a higher concentration of purple particles?,Solutions,A. Solution A | B. Solution B | C. neither; their concentrations are the same,Solution A,scienceqa_images_fixed/4225.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
4226,Which animal's feet are also adapted for grabbing prey?,Adaptations,A. red-tailed hawk | B. pygmy hippopotamus,red-tailed hawk,scienceqa_images_fixed/4226.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's feet is one example of an adaptation. Animals' feet can be adapted in different ways. For example, webbed feet might help an animal swim. Feet with thick fur might help an animal walk on cold, snowy ground."
4227,"During this time, thermal energy was transferred from () to ().",Thermal energy,A. the surroundings . . . each cake | B. each cake . . . the surroundings,each cake . . . the surroundings,scienceqa_images_fixed/4227.jpg,"A change in an object's temperature indicates a change in the object's thermal energy:
An increase in temperature shows that the object's thermal energy increased. So, thermal energy was transferred into the object from its surroundings.
A decrease in temperature shows that the object's thermal energy decreased. So, thermal energy was transferred out of the object to its surroundings."
4229,Identify the question that Greta's experiment can best answer.,Designing experiments,A. Do more tomato seedlings grow when they are planted in soil with fertilizer compared to soil without fertilizer? | B. Does the humidity level where tomato seeds are planted affect the number of tomato seedlings that grow?,Do more tomato seedlings grow when they are planted in soil with fertilizer compared to soil without fertilizer?,scienceqa_images_fixed/4229.jpg,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?"
4230,Which of these states is farthest east?,Maps,A. Montana | B. Oklahoma | C. Washington | D. Nevada,Oklahoma,scienceqa_images_fixed/4230.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
4231,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,Particle motion and energy,A. neither; the samples have the same temperature | B. sample A | C. sample B,sample B,scienceqa_images_fixed/4231.jpg,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy."
4233,What is the name of the colony shown?,Colonial America,A. Rhode Island | B. Pennsylvania | C. South Carolina | D. Massachusetts,Rhode Island,scienceqa_images_fixed/4233.jpg,
4234,Which of these states is farthest south?,Geography,A. North Dakota | B. Michigan | C. Rhode Island | D. Texas,Texas,scienceqa_images_fixed/4234.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
4236,What is the capital of California?,State capitals,A. Salt Lake City | B. Fairbanks | C. Sacramento | D. Springfield,Sacramento,scienceqa_images_fixed/4236.jpg,
4243,What is the name of the colony shown?,English colonies in North America,A. New York | B. Delaware | C. Georgia | D. Vermont,New York,scienceqa_images_fixed/4243.jpg,
4244,How can pine tree seeds get dispersed?,Plant reproduction,A. by sticking to female cones | B. by blowing in the wind,by blowing in the wind,scienceqa_images_fixed/4244.jpg,"Gymnosperms are plants that have seeds but not flowers. Conifers are a type of a gymnosperm. Instead of flowers, conifers have cones. Conifers use their cones for sexual reproduction.
Most conifer trees have both male and female cones. The male cones produce pollen. The female cones produce eggs and a sticky substance on the edge of the cone.
Male cones release pollen into the wind. Pollination happens when pollen lands on and sticks to the female cones. Self-pollination happens when pollen sticks to a female cone on the same tree. Cross-pollination happens when pollen sticks to a female cone on a different tree.
After pollination, sperm from the pollen fuse with eggs at the base of the female cone's scales. This is called fertilization.
The fertilized eggs grow into seeds inside the female cone. Conifer seeds are released from the fertilized cones. Many conifer seeds have wing-like structures. They can be carried long distances by the wind. When a seed lands on the ground, it can germinate and grow into a new plant.
The new plant can grow cones and begin the conifer life cycle again."
4250,Which property do these four objects have in common?,Materials,A. stretchy | B. hard | C. fuzzy,fuzzy,scienceqa_images_fixed/4250.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification."
4251,Which of the following could Eli's test show?,Engineering practices,A. whether an inexpensive filter would become clogged more often | B. whether the filter was clogged | C. the amount of bacteria in the water before it was filtered,whether the filter was clogged,scienceqa_images_fixed/4251.jpg,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds."
4252,Which of these states is farthest south?,Maps,A. Wyoming | B. Maryland | C. Iowa | D. Michigan,Maryland,scienceqa_images_fixed/4252.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
